Issue Type,Summary,Description,Original Estimate,Assignee,Epic Link,Issue Id,Parent Id,Labels,Development Phase,Sprint ID,Team,Theme
Daily and Alignments,[DocMatch-RT1/2026 S4] - Daily e Reuniões de alinhamento,"{panel:title=Daily e Alignments} Registro do esforço gasto em daily meetings e outros alinhamentos relacionados ao projeto, que ocorram durante a sprint. Período => 16/02/26 a 27/02/26 {panel}",5184000,,,,,,,234809,DocMatch,Consentimento
Rituals,[DocMatch-RT1/2026 S4] - Planning,{panel:title=Planning} Registro do esforço gasto na preparação e realização de planning meetings. Período => 16/02/26 a 27/02/26 {panel},2592000,,,,,,,234809,DocMatch,Consentimento
Rituals,"[DocMatch-RT1/2026 S4] - Demo, Review e Retrospective",{panel:title=Sprint Demo/Review/Retrospective} Registro do esforço gasto na preparação e realização de Sprint Demo/Review/Retrospective meetings. Período => 16/02/26 a 27/02/26 {panel},2592000,,,,,,,234809,DocMatch,Consentimento
Training,[DocMatch-RT1/2026 S4] - Treinamento / Workshop / Onboarding,"{panel:title=Training} Atividades de treinamento no início do projeto/célula, onboarding de novos membros do time, capacitação em geral. Período => 16/02/26 a 27/02/26 {panel}",,,,,,,,234809,DocMatch,Consentimento
Agile Mastering,[DocMatch-RT1/2026 S4] - Atividades Gestão SM,{panel:title=Agile Mastering} Registro do esforço gasto pelo SL na condução do time e coaching no processo. Período => 16/02/26 a 27/02/26 {panel},17280000,,,,,,,234809,DocMatch,Consentimento
Management,[DocMatch-RT1/2026 S4] - Atividades Gerais TL,{panel:title=Management} Registro do esforço gasto pelo TL e ARQ na condução do time e coaching no processo. Período => 16/02/26 a 27/02/26 {panel},17280000,,,,,,,234809,DocMatch,Consentimento
Rituals,[DocMatch-RT1/2026 S4] - Refinamento,{panel:title=Planning} Registro do esforço gasto nos Refinamentos das histórias previstas para as próximas Sprints. Período => 16/02/26 a 27/02/26 {panel},3888000,,,,,,,234809,DocMatch,Consentimento
Management,[DocMatch-RT1/2026 S4] - Acompanhamento Técnico - CI&T,{panel:title=Management} Registro do esforço gasto pelo Dev Master CI&T na condução técnica do time e coaching no processo. Período => 16/02/26 a 27/02/26 {panel},,,,,,,,234809,DocMatch,Consentimento
Rituals,"[DocMatch-RT1/2026 S4] - Outras Cerimônias e Ritos do Safe (Chapters, PI Planning, System Demo, Portifólio Review, PDCA e etc)",{panel:title=Outras Cerimônias e Ritos do Safe } Registro do esforço gasto na preparação e realização de Outras Cerimônias e Ritos do Safe . Período => 16/02/26 a 27/02/26 {panel},,,,,,,,234809,DocMatch,Consentimento
Service Request,"[DocMatch-RT1/2026 S4] - Suporte, Sustentação e Apoio a outros times","{panel:title=Service Request} Registro do esforço gasto no Suporte, Sustentação e Apoio a outros times. Período => 16/02/26 a 27/02/26 {panel}",4320000,,,,,,,234809,DocMatch,Consentimento
