Issue Type,Summary,Description,Team,Original Estimate,Assignee,Parent Id,Sprint ID,Epic Link,Labels
Sub-Imp,"Orquestrador: OCR com CIN [Sucesso]","Orquestrador: OCR com CIN [Sucesso]",DocMatch,8h,,PLTFAT-13536,,,
Sub-Imp,"Orquestrador: OCR com CIN [Insucesso]","Orquestrador: OCR com CIN [Insucesso]",DocMatch,8h,,PLTFAT-13536,,,
Sub-Imp,"Documentação: OCR com CIN [Confluence + Repositório]","Documentação: OCR com CIN [Confluence + Repositório]",DocMatch,4h,,PLTFAT-13536,,,
Sub-Imp,"Orquestrador: OCR com CNH [Sucesso]","Orquestrador: OCR com CNH [Sucesso]",DocMatch,8h,,PLTFAT-13536,,,
Sub-Imp,"Orquestrador: OCR com CNH [Insucesso]","Orquestrador: OCR com CNH [Insucesso]",DocMatch,8h,,PLTFAT-13536,,,
Sub-Imp,"Documentação: OCR com CNH [Confluence + Repositório]","Documentação: OCR com CNH [Confluence + Repositório]",DocMatch,4h,,PLTFAT-13536,,,
Sub-Imp,"Orquestrador: OCR com DNI [Sucesso]","Orquestrador: OCR com DNI [Sucesso]",DocMatch,8h,,PLTFAT-13536,,,
Sub-Imp,"Orquestrador: OCR com DNI [Insucesso]","Orquestrador: OCR com DNI [Insucesso]",DocMatch,8h,,PLTFAT-13536,,,
Sub-Imp,"Documentação: OCR com DNI [Confluence + Repositório]","Documentação: OCR com DNI [Confluence + Repositório]",DocMatch,4h,,PLTFAT-13536,,,
Sub-Imp,"Orquestrador: FaceMatch com CIN [Sucesso]","Orquestrador: FaceMatch com CIN [Sucesso]",DocMatch,8h,,PLTFAT-13537,,,
Sub-Imp,"Orquestrador: FaceMatch com CIN [Insucesso]","Orquestrador: FaceMatch com CIN [Insucesso]",DocMatch,8h,,PLTFAT-13537,,,
Sub-Imp,"Documentação: FaceMatch com CIN [Confluence + Repositório]","Documentação: FaceMatch com CIN [Confluence + Repositório]",DocMatch,4h,,PLTFAT-13537,,,
Sub-Imp,"Orquestrador: FaceMatch com CNH [Sucesso]","Orquestrador: FaceMatch com CNH [Sucesso]",DocMatch,8h,,PLTFAT-13537,,,
Sub-Imp,"Orquestrador: FaceMatch com CNH [Insucesso]","Orquestrador: FaceMatch com CNH [Insucesso]",DocMatch,8h,,PLTFAT-13537,,,
Sub-Imp,"Documentação: FaceMatch com CNH [Confluence + Repositório]","Documentação: FaceMatch com CNH [Confluence + Repositório]",DocMatch,4h,,PLTFAT-13537,,,
Sub-Imp,"Orquestrador: FaceMatch com DNI [Sucesso]","Orquestrador: FaceMatch com DNI [Sucesso]",DocMatch,8h,,PLTFAT-13537,,,
Sub-Imp,"Orquestrador: FaceMatch com DNI [Insucesso]","Orquestrador: FaceMatch com DNI [Insucesso]",DocMatch,8h,,PLTFAT-13537,,,
Sub-Imp,"Documentação: FaceMatch com DNI [Confluence + Repositório]","Documentação: FaceMatch com DNI [Confluence + Repositório]",DocMatch,4h,,PLTFAT-13537,,,
