key,id,summary,issuetype,status,assignee,reporter,created,updated,labels,timeoriginalestimate,sprint,epic_link,team,company,pf_metricas,pf
PLTFAT-11444,5412366,Habilitar e configurar dependências ao serviço de configurações para biblioteca de segurança PEP,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:15:53.000-0300,2026-01-05T10:04:24.000-0300,,,,PLTFAT-11418,DocMatch,Sem Company,0,0
PLTFAT-12469,5694389,Integrar serviço de entidade externa com biblioteca de segurança PEP,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2026-02-05T16:20:57.000-0300,2026-02-11T14:08:21.000-0300,,,DocMatch-RT1_Platafo-S5,PLTFAT-11418,DocMatch,Sem Company,0,0
PLTFAT-11441,5412362,[Portal][FRONT] Desenvolver tela de consulta de histórico de operações,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:14:46.000-0300,2026-02-10T18:25:43.000-0300,,,,PLTFAT-11417,DocMatch,Sem Company,0,0
PLTFAT-11442,5412363,[Portal][FRONT] Desenvolver tela de bilhetagem,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:15:05.000-0300,2026-02-10T18:25:54.000-0300,,,,PLTFAT-11417,DocMatch,Sem Company,0,0
PLTFAT-11443,5412365,Habilitar e configurar dependências ao serviço de orquestração para biblioteca de segurança PEP,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:15:37.000-0300,2026-01-05T10:04:24.000-0300,,,,PLTFAT-11418,DocMatch,Sem Company,0,0
PLTFAT-12459,5693540,[Portal][BACK] Construir endpoints para realizar edição de canal existente via Portal Administrativo,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2026-02-05T15:10:56.000-0300,2026-02-13T15:25:53.000-0300,,,DocMatch-RT1_Platafo-S5,PLTFAT-11417,DocMatch,Sem Company,0,0
PLTFAT-12460,5693542,[Portal][BACK] Construir endpoints para apresentação de canais via Portal Administrativo,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2026-02-05T15:11:43.000-0300,2026-02-13T15:25:58.000-0300,,,DocMatch-RT1_Platafo-S5,PLTFAT-11417,DocMatch,Sem Company,0,0
PLTFAT-11440,5412361,[Portal][FRONT] Desenvolver tela de configuração de canais,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:14:29.000-0300,2026-02-13T15:25:37.000-0300,,,DocMatch-RT1_Platafo-S5,PLTFAT-11417,DocMatch,Sem Company,0,0
PLTFAT-12512,5730922,Alterar credenciais para acesso ao ambiente de testes do fornecedor,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2026-02-10T17:18:32.000-0300,2026-02-18T14:10:03.000-0300,,,DocMatch-RT1_Platafo-S4,PLTFAT-12237,DocMatch,Sem Company,0,0
PLTFAT-12249,5646654,Enviar arquivo PDF com documento completo ao fornecedor via API de documentoscopia,Story,Product Backlog,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2026-01-28T19:29:02.000-0300,2026-02-19T16:59:53.000-0300,,,DocMatch-RT1_Platafo-S4,PLTFAT-12237,DocMatch,Sem Company,0,0
